"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sel2_SRR1719013","sel2_SRR1719014","sel2_SRR1719015","sel2_SRR1719016","sel2_SRR1719017","sel2_SRR1719018","sel2_SRR1719204","sel2_SRR1719206","sel2_SRR1719207","sel2_SRR1719208","sel2_SRR1719209","sel2_SRR1719211","sel2_SRR1719212","sel2_SRR1719213","sel2_SRR1719214","sel2_SRR1719241","sel2_SRR1719242","sel2_SRR1719266"
"37","maker-NW_015504334.1-augustus-gene-12.6-mRNA-1",3320.93618202816,-0.225537574835275,0.115216330980613,-1.95751394716106,0.0502870736344327,0.139929248374074,3424.11745670215,4170.23025225256,3096.61718034171,3052.56460271941,2877.7592799479,2767.79093109793,3581.35110728767,4298.56239916774,3673.60928264137,2975.27664886055,3952.71146320094,2956.87797010182,3478.38068179533,4266.1546918097,2454.74361708092,2876.20228759059,3236.1950911188,2637.70633278986
"38","maker-NW_015504334.1-augustus-gene-14.15-mRNA-1",5057.31149502022,0.327452995940369,0.146067299006243,2.24179537903534,0.0249746000352046,0.0940220236619468,4415.34331676519,4689.5327654377,3714.87281738235,5609.46154629627,6339.8695230526,5585.1464500289,4645.08574716176,3171.63044943558,3326.13659380411,7996.61441660717,4240.73401214894,3855.24707101805,4926.43784796755,4861.34279012699,6370.00299478649,4714.64353262011,4797.77660204017,7771.72843368399
"39","maker-NW_015504334.1-augustus-gene-14.2-mRNA-1",1579.60104706189,-0.255890849875762,0.127611675637443,-2.00523070163871,0.0449383893138205,0.136311828917951,2361.90536968147,1293.99970498592,2055.51312833028,1806.84890087436,1229.61882208671,1362.59138832248,1799.56779723735,1675.15263307047,1673.35531729526,1617.19241274402,1961.15856193236,1505.39875477831,1162.93086575335,1428.45143596148,1583.11121263244,1385.57425108017,1278.13186027529,1252.3164300723
"40","maker-NW_015504334.1-augustus-gene-15.0-mRNA-1",41.2863468400316,0.152794188954754,0.266907706043362,0.572460762635048,0.567009860855957,0.74058430805676,24.5225147671847,9.72932109011971,13.8813873601525,19.6396619660256,7.89663463725413,6.08687920756691,35.5689743740551,48.1751212277275,33.1470657114498,71.4781176903435,54.9992807036381,66.9645893228942,20.0229143552575,119.037619663457,46.7705192630891,41.1697267226688,27.8232785910267,96.240636466657
"41","maker-NW_015504334.1-augustus-gene-16.0-mRNA-1",255.568267773097,0.463504543775767,0.21097928274497,2.19691970578954,0.0280261812201402,0.0996486443382762,251.678441031632,367.281871152019,174.051241515758,410.562457289774,676.854397478925,300.865743688307,250.094351067575,104.887605711002,138.30327417536,143.948987015275,191.050132970532,164.367628338013,317.162963387278,166.65266752884,266.450230953356,185.973593126539,277.363308454298,212.679925031254
"42","maker-NW_015504334.1-augustus-gene-16.10-mRNA-1",60.9940561002343,0.054655146296393,0.233139826040955,0.234430758676091,0.8146505818888,0.894732690626984,69.6955682856827,60.8082568132482,65.1357406899464,43.0202119255799,63.173077098033,114.781150771262,30.011322128109,55.4928611610532,91.4401812729651,77.4346274978721,24.6049413674171,56.5285494284172,65.6751590852445,37.6312475065122,55.2742500381963,17.0357489886906,109.554159452168,60.5959562938211
"43","maker-NW_015504334.1-augustus-gene-16.14-mRNA-1",15.4392182881751,0.638780638177383,0.268964311690752,2.37496429976864,0.0175506475881536,0.0702025903526146,6.45329335978543,7.29699081758978,4.27119611081616,12.1578859789682,32.7146292114814,21.738854312739,18.8960176362168,9.7569865777676,17.145033988681,10.9202679804691,4.34204847660301,6.08768993844493,12.8146651873648,9.98380035887059,24.0939038628035,0,26.9538011350572,52.2788642534927
"44","maker-NW_015504334.1-augustus-gene-16.23-mRNA-1",33.3492726444912,0.548787229090783,0.258319013586422,2.12445542227647,0.0336320798357252,0.113287005762443,34.8477841428413,24.3233027252993,39.5085640250494,27.121437953083,89.1191623347252,46.9559253155162,18.8960176362168,12.1962332222095,10.2870203932086,45.6665751910528,7.23674746100502,16.5237298329219,36.0412458394634,13.0557389308308,82.9113750572944,42.5893724717264,30.4317109589355,22.5749641094628
"45","maker-NW_015504334.1-augustus-gene-16.24-mRNA-1",274.564389479676,0.479823093182529,0.182139678453962,2.63436883854942,0.00842938643247549,0.0652148786921719,237.481195640104,226.206715345283,235.983585122593,328.262921432143,394.831731862706,419.125111149607,271.21342960217,101.838547405449,112.014222059382,343.492065567484,206.970977384743,198.284757995063,341.190460613587,225.019500396083,330.936855997919,264.054109324704,354.746802035591,350.506021699553
"46","maker-NW_015504334.1-augustus-gene-16.36-mRNA-1",5.69539403489634,0.330315287200045,0.25657950853547,1.28737984216063,0.197961926812808,0.433489779792655,1.29065867195709,4.86466054505985,7.47459319392827,2.80566599514652,25.9460852366921,16.5215292776816,0,1.82943498333142,6.85801359547238,2.97825490376431,5.78939796880401,4.34834995603209,4.80549944526179,1.53596928598009,2.83457692503571,5.67858299623019,6.95581964775668,0
